銘柄コード,銘柄名,終値,RSI,MACD,Signal,判定,反発確度スコア
5214.T,日本電気硝子,5576.0,17.2,-200.285,-146.781,判定なし,20
5332.T,TOTO,7451.0,26.2,-27.627,120.472,判定なし,20
5406.T,神戸製鋼所,1934.0,61.1,-1.751,-10.146,判定なし,20
5713.T,住友金属鉱山,6794.0,36.3,-400.742,-397.012,判定なし,10
5802.T,住友電気工業,2249.0,25.1,-157.27,-120.995,判定なし,20
5803.T,フジクラ,4472.0,29.6,-142.75,-36.666,判定なし,20
5901.T,東洋製罐グループHD,4053.0,38.3,25.48,44.955,25MAタッチ（反発候補）,40
6099.T,エラン,785.0,63.9,16.012,13.221,判定なし,20
6301.T,コマツ,6251.0,47.2,-45.565,-32.487,判定なし,0
6367.T,ダイキン工業,24500.0,50.6,317.842,432.495,25MAタッチ（反発候補）,30
6471.T,日本精工,1097.5,40.3,-15.36,-10.814,判定なし,0
6473.T,ジェイテクト,2039.5,50.5,16.677,20.702,判定なし,0
6503.T,三菱電機,5370.0,35.6,-105.955,-66.207,判定なし,10
6504.T,富士電機,12110.0,27.6,-462.542,-359.912,判定なし,20
6506.T,安川電機,5116.0,29.9,-341.171,-108.153,判定なし,20
6586.T,マキタ,5568.0,41.7,-14.179,16.005,判定なし,0
6645.T,オムロン,5309.0,42.7,-48.312,12.255,判定なし,0
6674.T,ジャパンディスプレイ,5572.0,22.7,-219.313,-116.299,判定なし,20
6723.T,ルネサスエレクトロニクス,3822.0,27.1,-54.265,71.598,判定なし,20
6752.T,パナソニックHD,3993.0,38.9,60.383,144.071,判定なし,10
6754.T,アンリツ,3654.0,33.4,-98.58,-35.353,判定なし,10
6762.T,TDK,2968.0,24.6,-136.565,-66.111,判定なし,20
6770.T,アルプスアルパイン,2058.5,54.2,-6.279,-11.678,判定なし,20
6841.T,横河電機,5468.0,45.6,57.558,90.466,判定なし,0
6857.T,アドバンテスト,27505.0,36.7,20.613,315.263,判定なし,10
6954.T,ファナック,6637.0,43.0,-144.948,-106.421,判定なし,0
6971.T,京セラ,3556.0,52.4,36.707,72.733,判定なし,0
7011.T,三菱重工業,3681.0,51.4,-18.344,-19.041,判定なし,20
7012.T,川崎重工業,2604.5,36.2,-82.498,-63.626,判定なし,10
7201.T,日産自動車,329.3,67.9,-4.62,-8.452,ボックス上限タッチ（天井候補）,20
7267.T,ホンダ,1535.5,58.9,29.06,29.742,判定なし,0
7270.T,SUBARU,2534.0,66.9,12.7,8.629,判定なし,20
7731.T,ニコン,2198.5,53.5,53.456,58.613,25MAタッチ（反発候補）,30
7733.T,オリンパス,1771.5,55.9,14.455,10.022,判定なし,20
7751.T,キヤノン,4466.0,81.1,56.814,35.489,ボックス上限タッチ（天井候補）,20
8031.T,三井物産,4662.0,58.7,-71.401,-119.373,25MAタッチ（反発候補）,50
8113.T,ユニ・チャーム,975.2,59.4,12.189,11.817,判定なし,20
8267.T,イオン,1395.0,52.7,-0.849,-4.827,判定なし,20
8308.T,りそなHD,2224.5,62.3,58.741,60.296,25MAタッチ（反発候補）,30
8411.T,みずほフィナンシャルグループ,7930.0,58.0,202.197,216.35,判定なし,0
8591.T,オリックス,6203.0,53.0,80.675,93.861,判定なし,0
8769.T,アドバンスクリエイト,486.0,47.7,3.743,5.46,判定なし,0
8802.T,三菱地所,4112.0,47.5,22.789,20.623,25MAタッチ（反発候補）,50
9020.T,JR東日本,3624.0,63.5,41.942,20.163,判定なし,20
9022.T,JR東海,3766.0,70.9,71.093,41.837,ボックス上限タッチ（天井候補）,20
9021.T,JR西日本,2995.5,71.9,86.746,66.25,判定なし,20
AAPL,Apple,333.7,88.6,8.824,5.49,ボックス上限タッチ（天井候補）,20
MSFT,Microsoft,393.8,63.9,-0.976,-4.198,判定なし,20
AMZN,Amazon,247.2,67.4,0.592,-0.983,判定なし,20
NVDA,NVIDIA,202.8,58.9,0.148,-1.022,25MAタッチ（反発候補）,50
META,Meta Platforms,646.0,67.3,19.352,11.133,判定なし,20
GOOGL,Alphabet Class A,346.8,55.3,-2.081,-2.025,判定なし,0
GOOG,Alphabet Class C,346.1,56.2,-1.744,-1.89,判定なし,20
TSLA,Tesla,380.8,50.3,-3.644,-1.972,判定なし,0
UNH,UnitedHealth Group,426.1,48.9,7.774,9.298,判定なし,0
XOM,Exxon Mobil,147.4,72.9,0.042,-1.431,判定なし,20
JNJ,Johnson & Johnson,253.0,48.6,4.445,5.965,判定なし,0
JPM,JPMorgan Chase,341.1,63.4,7.021,6.919,判定なし,20
V,Visa,358.6,66.0,8.352,7.604,判定なし,20
PG,Procter & Gamble,150.0,51.6,0.529,0.593,25MAタッチ（反発候補）,30
MA,Mastercard,543.6,71.4,12.639,10.102,判定なし,20
HD,Home Depot,338.9,42.6,3.979,5.406,25MAタッチ（反発候補）,30
CVX,Chevron,187.4,73.8,0.644,-1.554,ボックス上限タッチ（天井候補）,20
MRK,Merck,127.5,48.1,1.877,2.129,判定なし,0
ABBV,AbbVie,254.5,53.5,7.006,7.741,判定なし,0
PEP,PepsiCo,137.1,44.0,-1.8,-1.62,判定なし,0
KO,Coca-Cola,81.6,46.9,0.814,0.917,25MAタッチ（反発候補）,30
AVGO,Broadcom,370.8,52.3,-4.317,-5.155,判定なし,20
COST,Costco,940.9,46.4,-12.249,-14.065,25MAタッチ（反発候補）,50
WMT,Walmart,114.2,46.8,-1.571,-2.061,判定なし,20
BAC,Bank of America,61.3,68.1,1.7,1.611,判定なし,20
DIS,Disney,97.7,48.9,-0.791,-1.005,25MAタッチ（反発候補）,50
MCD,McDonald's,267.7,48.1,-2.329,-1.883,判定なし,0
CSCO,Cisco Systems,111.9,48.1,-0.656,0.216,判定なし,0
PFE,Pfizer,25.0,60.1,-0.165,-0.328,判定なし,20
TMO,Thermo Fisher Scientific,532.5,60.7,15.163,13.404,判定なし,20
ACN,Accenture,143.6,65.1,-4.485,-7.296,判定なし,20
DHR,Danaher,203.8,59.8,5.52,4.757,判定なし,20
LIN,Linde,513.2,46.8,1.82,4.176,判定なし,0
WFC,Wells Fargo,87.5,61.0,1.621,1.636,判定なし,0
TXN,Texas Instruments,284.0,49.3,-0.781,1.111,判定なし,0
UPS,United Parcel Service,117.7,77.2,2.581,1.971,ボックス上限タッチ（天井候補）,20
NEE,NextEra Energy,88.8,51.1,0.407,0.168,判定なし,20
RTX,RTX Corp,193.5,59.0,3.194,3.66,判定なし,0
IBM,IBM,212.7,30.2,-10.08,-0.24,判定なし,10
INTC,Intel,95.0,27.4,-4.871,-1.234,判定なし,20
AMD,Advanced Micro Devices,495.8,46.0,7.378,15.297,判定なし,0
NFLX,Netflix,68.9,38.0,-2.27,-2.367,判定なし,30
QCOM,Qualcomm,171.8,34.5,-8.396,-6.797,判定なし,10
SBUX,Starbucks,105.5,52.1,1.468,1.258,判定なし,20
AMAT,Applied Materials,529.7,38.6,7.236,21.745,判定なし,10
LOW,Lowe's,208.7,35.3,-2.483,-1.638,ボックス下限タッチ（底候補）,40
CAT,Caterpillar,880.3,31.6,-8.971,6.256,判定なし,10
BLK,BlackRock,1072.2,72.2,12.17,0.954,判定なし,20
GE,General Electric,348.8,35.2,4.521,8.851,判定なし,10
HON,Honeywell,225.0,33.9,-2.571,-2.256,判定なし,10
BA,Boeing,214.0,46.7,-1.3,-0.294,判定なし,0
MDT,Medtronic,83.2,55.2,0.928,0.883,判定なし,20
SPGI,S&P Global,450.8,77.4,14.193,10.625,判定なし,20
GS,Goldman Sachs,1065.2,57.4,17.651,14.826,25MAタッチ（反発候補）,50
PLD,Prologis,149.8,69.2,1.154,0.111,判定なし,20
ADBE,Adobe,237.2,78.1,1.702,-2.179,判定なし,20
NOW,ServiceNow,103.2,58.0,0.776,0.818,判定なし,0
BKNG,Booking Holdings,181.7,50.3,2.897,2.924,判定なし,0
ISRG,Intuitive Surgical,345.4,33.4,-10.061,-5.802,ボックス下限タッチ（底候補）,40
LMT,Lockheed Martin,508.8,50.7,-2.203,-1.321,判定なし,0
EL,Estee Lauder,82.1,55.0,-0.449,-0.422,判定なし,0
MO,Altria,74.2,51.6,0.491,0.471,判定なし,20
DE,Deere,597.2,43.8,2.519,5.872,25MAタッチ（反発候補）,30
C,Citigroup,129.4,30.6,-0.626,1.157,判定なし,10
T,AT&T,21.8,43.7,-0.389,-0.609,25MAタッチ（反発候補）,50
VZ,Verizon,43.6,38.5,-0.653,-0.899,25MAタッチ（反発候補）,60
FDX,FedEx,313.0,44.0,-1.993,-1.802,判定なし,0
SO,Southern Company,95.3,44.1,0.48,0.663,25MAタッチ（反発候補）,30
DUK,Duke Energy,125.0,42.4,0.177,0.441,25MAタッチ（反発候補）,30
AEP,American Electric Power,132.1,34.7,0.649,1.269,判定なし,10
REGN,Regeneron,676.7,67.3,9.75,5.213,判定なし,20
GILD,Gilead Sciences,134.3,59.6,1.548,0.931,判定なし,20
VRTX,Vertex Pharmaceuticals,485.6,47.4,7.417,11.419,25MAタッチ（反発候補）,30
CSX,CSX Corp,50.8,75.5,1.059,0.883,判定なし,20
NSC,Norfolk Southern,340.2,82.8,6.457,4.383,ボックス上限タッチ（天井候補）,20
BDX,Becton Dickinson,158.2,53.0,2.248,1.756,判定なし,20
CL,Colgate-Palmolive,93.0,52.2,0.844,0.967,判定なし,0
MNST,Monster Beverage,97.5,53.6,2.103,2.301,判定なし,0
KDP,Keurig Dr Pepper,30.9,34.6,0.06,0.297,判定なし,10
WM,Waste Management,239.3,64.8,4.909,3.876,判定なし,20
ADP,Automatic Data Processing,255.3,76.5,8.306,6.547,判定なし,20
ORCL,Oracle,126.4,28.2,-14.868,-14.152,判定なし,20
CRM,Salesforce,170.8,64.4,0.054,-1.736,判定なし,20
PANW,Palo Alto Networks,358.7,66.9,21.046,21.073,判定なし,0
FTNT,Fortinet,161.6,59.3,6.541,7.163,判定なし,0
HCA,HCA Healthcare,371.2,42.3,-3.417,-0.696,判定なし,0
LRCX,Lam Research,313.3,37.4,-5.178,3.221,判定なし,10
MU,Micron Technology,849.0,24.0,-17.849,12.72,判定なし,20
ZTS,Zoetis,76.6,51.6,-1.472,-2.115,25MAタッチ（反発候補）,50
MAR,Marriott,366.2,41.1,-3.269,-1.896,判定なし,0
ETN,Eaton,400.0,49.0,-0.411,0.663,判定なし,0
EMR,Emerson Electric,139.5,41.3,-1.168,-0.868,判定なし,0
ROST,Ross Stores,233.5,74.1,0.575,-1.412,判定なし,20
TJX,TJX Companies,154.5,47.9,-1.778,-1.808,判定なし,20
